,Technology,O2_substitution,Ratio_NG,Bio_switch,Direct_CO2,Indirect_CO2,Energy_use,Product_cost,ROI
0,9,24,75,1,40.000601995839354,608.4151147380898,4.563113360535673,6.937684547376912,-4.786143922088059
1,7,19,92,1,175.7395767601711,21.12762496706459,3.169143745059689,6.020326178053216,-17.461511385513298
2,7,44,81,1,174.52658908685942,24.002737638150737,3.1699267641688214,5.986334157422798,-16.476973582429217
3,5,60,80,1,172.2788559817895,24.007844471858633,3.1314579745902567,5.959232733114612,-18.4962897658248
4,5,60,75,1,171.60296441037585,25.61206895909032,3.131910606410502,5.965887330410604,-18.723476589252442
5,7,30,89,1,175.4406858515617,21.841396629485658,3.169376576126448,5.998299021350388,-16.823521408271887
6,7,36,88,1,175.33551278630478,22.090033417372464,3.169439577275184,5.9942485922307,-16.70620562318208
7,5,13,78,1,172.01889768509193,24.62479570218499,3.131631627343091,5.961222802753686,-18.56423040589529
8,7,15,98,0,197.32284367410196,21.303130861558422,3.403869822444661,5.466615348690115,-1.4239462930399442
9,5,44,76,0,190.00703950589374,26.833938823895018,3.3250750281782953,5.055542339793202,12.355547045459943
10,5,29,81,1,173.90505112195174,23.917257180520277,3.158637768949145,5.978224128067637,-19.144652769614087
11,7,0,97,0,197.22563356077387,21.523075763885743,3.403921221353671,5.316389251105911,2.927171096818897
12,7,30,77,1,173.99831238518058,25.252187511457958,3.1702474538841234,5.9902929759307355,-16.59163597684791
13,5,16,78,0,191.74140824685855,26.34103277105504,3.349892211101565,5.064782383577815,12.040093517261797
14,5,53,80,0,192.0318654114473,25.68117561400693,3.34971855834873,5.064780114592679,12.040170980029638
15,7,14,78,1,174.13546114427024,24.927785335733216,3.170164004653028,5.988934043712042,-16.552276147207916
16,7,16,80,1,174.39947250551788,24.303362058134596,3.170003746713209,5.986930648246899,-16.494250218375797
17,5,50,77,0,190.16074139760283,26.484711200486238,3.324982764843653,5.055004326182738,12.373914738903343
18,4,1,75,0,208.88174404966114,29.918565843790955,3.658520279811394,5.191322032537893,12.456279181770748
19,7,31,89,0,196.36931076471532,23.460870106616955,3.404376260036263,5.107981770902225,8.963441930404464
20,7,24,76,1,173.8575544482202,25.585145450687712,3.170333240628694,5.9918656199588565,-16.63718571080795
21,7,7,91,0,196.59750667465406,22.944426610676953,3.4042546003884864,5.123139102460857,8.524428137267423
22,5,29,79,1,172.15052213911605,24.312406271981832,3.1315436339454865,5.960103010268512,-18.52600088030732
23,7,0,95,0,197.02507374801283,21.976878850213343,3.4040274306037013,5.197948183943878,6.357673488144694
24,5,32,97,0,198.602137624531,21.67329255223448,3.427678332989256,5.32760738117357,3.067292660158335
25,5,53,79,0,191.8884751656376,26.006918820992766,3.3498042177039604,5.064659856216636,12.04427658059848
26,5,20,84,0,192.57128585996918,24.45591823638311,3.3493974975916,5.0683818824606846,11.917207235679738
27,7,30,98,1,176.29065592996488,19.832385385375673,3.168870273532852,6.325503018242464,-26.300589799204467
28,7,40,93,1,175.83876024909355,20.900413757492913,3.1691388251850623,6.03331061976438,-17.837590049843868
29,7,51,94,0,196.92159341908823,22.21103355944725,3.40408231726311,5.169092479049036,7.193444112447882
30,5,16,77,1,171.88385441408016,24.945318505434916,3.131722051497537,5.962570966430096,-18.610256485232746
31,7,34,79,1,174.26913778287675,24.61161328933644,3.1700827986808373,5.987806130300117,-16.519607498152887
32,5,8,89,0,197.7425132525367,23.624931003258077,3.4281829227553833,5.117764411552462,10.231296065075785
33,5,13,95,0,198.40080454793238,22.13033276623121,3.4277961078129877,5.208344408409585,7.138910329811339
34,7,29,92,0,196.70788404413523,22.694639056965485,3.4041958585448224,5.134213740999119,8.203664614117102
35,5,42,83,0,192.44130502900006,24.75113828189668,3.349474691408844,5.066922488443193,11.967030700003098
36,7,33,97,1,176.20400376847826,20.037167876573896,3.168921658740765,6.186333607433574,-22.269715981374326
37,7,60,75,1,173.71304296627417,25.927002198550674,3.1704214644966897,5.993637984752184,-16.688520115398326
38,5,50,85,0,192.69820831844493,24.167658400761418,3.349322224018567,5.070321121156016,11.851001955410457
39,7,36,85,1,175.0051456283801,22.87111329543283,3.169637983877924,5.987543069305961,-16.511988254328582
40,7,1,99,1,176.37555754273475,19.631746658821783,3.1688199769945995,6.746988319668025,-38.508402250531006
41,4,38,77,0,209.22447487104677,29.139820092765557,3.6583143703417633,5.189936639092599,12.53259290323764
42,1,60,77,0,172.52310856764922,112.96385372477636,3.6836039258079256,5.315648273119907,0.6505879821591339
43,7,54,93,0,196.8158877067458,22.45023204334035,3.4041384457021455,5.148930250217547,7.777418707393564
44,7,14,90,1,175.5435217375907,21.598295158379955,3.1693150504144483,6.00368204857442,-16.979434287200508
45,5,51,93,0,198.19081198416816,22.607065769671127,3.4279192118142636,5.158988991621842,8.823895890952288
46,5,43,82,0,192.30815393386095,25.05357373582519,3.3495538798983677,5.065871268271683,12.002919178428709
47,5,3,90,0,197.85832375820823,23.361966701725223,3.428114679057506,5.124450964872116,10.003018268418336
48,7,49,90,0,196.4846764747399,23.199774373968953,3.404314717919355,5.114624461415846,8.771044426415095
49,7,56,86,1,175.11782900007532,22.60468686450094,3.169570223391976,5.989052208831999,-16.555698657121894
50,7,51,84,1,174.88977931926343,23.14389567526153,3.169707451177119,5.986594340804588,-16.484509479688526
51,7,7,96,0,197.12313408643175,21.747249925852802,3.4039173796986955,5.241968478152289,5.082678858602653
52,7,1,96,1,176.11263011500034,20.24588860288462,3.1689216943645464,6.117732687166914,-20.282773220212107
53,5,45,91,0,197.9715889780408,23.104792482555812,3.4280480150748573,5.133022588034283,9.710384506942722
54,5,6,76,1,171.74525737277875,25.27429656015918,3.1318150085414636,5.964130413068287,-18.66349572906327
55,7,50,87,1,175.2279219494327,22.3443967737301,3.169504107578017,5.991236264313866,-16.618957185036706
56,1,1,76,0,179.57899641850534,124.31064039148514,3.8847075122339114,5.261768608156553,4.075363048919441
57,1,60,91,1,184.5525384016367,41.69229904200847,3.4743582535007063,6.185545774760009,-4.908568100775677
58,1,60,78,0,174.7159258029189,108.02286365526135,3.6825976246111836,5.3092704019665575,0.6913463257012926
59,5,6,86,0,192.82217909183993,23.886115472291056,3.3492487999190717,5.072832826876439,11.765252747963777
60,1,1,99,0,233.18600175370185,5.163240986429859,3.8724307398223914,5.068619491377384,9.1314637489371
61,1,60,82,0,183.4871947439978,88.29162861937198,3.678817859140498,5.283896443436845,0.853500827401366
62,7,8,94,1,175.93298530595595,20.67770279979586,3.169082711707843,6.0513412151464125,-18.359824457698924
63,7,53,95,1,176.02522667741096,20.459688508806277,3.1690278396792366,6.0774793436241925,-19.1168837648828
64,5,59,94,0,198.29692524777238,22.366158961755307,3.4278569713124987,5.179289617219923,8.130835974915081
65,5,5,81,0,192.17171515736044,25.363492428594245,3.3496351413850007,5.065172009558578,12.026791752337877
66,1,60,79,0,176.90874303818862,103.08527038303501,3.6816167993941082,5.302906805672528,0.7320134445062032
67,1,1,98,1,211.05220876956156,9.83849174566336,3.6894344046237575,6.197936114434815,-20.430869559118037
68,1,1,77,0,181.90973578090518,119.10998447961067,3.8840212330307833,5.253285367086069,4.297430443428578
69,1,60,75,0,168.13747409710984,122.85656774323823,3.6856970322971474,5.328449123982053,0.5687830249051163
70,7,2,88,0,196.2513231067358,23.727910119277592,3.4044392779833124,5.1027527366889025,9.114894587856348
71,1,60,81,0,181.29437750872796,93.21977100121995,3.6797278026797358,5.290220322868451,0.8130875226802037
72,1,60,81,1,164.65972196189531,88.22479619991307,3.4825577447334117,6.147086863134912,-4.662793061646794
73,1,60,78,1,158.69187702997297,102.23920862216922,3.4854275666648604,6.135793954768452,-4.590624742826398
74,7,37,91,1,175.64409749425656,21.360546175795207,3.1692549489087485,6.0108238347577325,-17.18628749417706
75,1,1,99,1,213.18188152830416,4.918693944583661,3.689020458437743,6.200576912430013,-20.49999822413491
76,1,1,75,0,177.24825705610556,129.513736407193,3.8854120922157898,5.270262103633168,3.8530272228954114
77,1,1,80,0,188.90195386810475,103.52174232804977,3.882065337301868,5.227893324909112,4.962122699684522
78,1,0,79,0,187.74960586026063,109.4022745966563,3.907224092737726,5.243374494832019,4.809249655930771
79,1,60,75,1,152.72403209805054,116.28423247836074,3.4885269743508225,6.124638114869795,-4.51933237204025
80,1,60,99,0,220.7650877435825,4.888215162308105,3.666161371731076,5.177966440147351,1.530455780188124
81,1,60,83,0,185.68001197926742,83.36640975090299,3.6779298419516016,5.277584849914186,0.8938356179466294
82,1,60,83,1,168.63828524984353,78.89722177078627,3.480759784005276,6.1546842781843365,-4.711345007142626
83,1,60,76,1,154.71331374202464,111.59893282140102,3.487466650668783,6.128340496377109,-4.542992764947378
84,1,0,77,0,183.05829444294042,119.8620322126343,3.9085445286728593,5.260480899281258,4.336650998656854
85,1,0,76,0,180.71263873428063,125.09538585203161,3.9092308078759883,5.269048704299418,4.099948238624363
86,1,60,80,1,162.67044031792125,92.89307831629688,3.4834904368611337,6.143308282380696,-4.6386457107864265
87,1,60,76,0,170.33029133237955,117.90837467568336,3.6846367086151064,5.322040982613864,0.6097348129032509
88,1,60,98,1,198.47750990945582,9.252304699052386,3.4696142621446415,6.213061442477326,-5.084409382396021
89,1,60,80,0,179.1015602734584,98.15094652819884,3.6806604948074573,5.296556948930591,0.7725927595015342
90,1,60,99,1,200.46679155342983,4.625321751713007,3.4689913137847532,6.2170249480486595,-5.109738511477419
91,1,1,96,0,226.1937836665023,20.659725066757684,3.873698450017063,5.093625925157092,8.476865636106584
92,1,0,99,0,234.66272003346162,5.195938713952631,3.89695403546447,5.073954616723658,9.489812841906549
93,1,0,97,0,229.97140861614176,15.59116185123763,3.897790462809404,5.090789818470378,9.024706702036879
94,1,60,87,1,176.59541182574011,60.27513885695808,3.4774118571321972,6.170027167284552,-4.809395082134731
95,1,60,90,1,182.56325675766254,46.33461610282197,3.475096207711649,6.181650930573285,-4.883677758279133
96,1,1,98,0,230.85526239130206,10.327585829355764,3.872844686008408,5.0769501371185255,8.913390871018933
97,1,0,75,0,178.36698302562053,130.3311795952622,3.9099353878578658,5.277626763723709,3.862962180100749
98,1,60,82,1,166.6490036058694,83.55954722866015,3.481647801194172,6.150879025368404,-4.687027206138583
99,1,1,79,0,186.5712145057048,108.7156223186782,3.8827007970956515,5.236348090532188,4.7408007123093885
100,7,33,99,0,197.41808994675665,21.087636037009727,3.4038195124955886,5.92008052032791,-14.558017041982719
101,1,1,96,1,206.79286325207616,19.681536899372873,3.690288168632411,6.1926699644619605,-20.293016562386033
102,1,1,78,0,184.24047514330502,113.91167482142211,3.8833525507303,5.2448119860214835,4.5192397307118
103,1,60,79,1,160.68115867394707,97.56450876053792,3.4844467414477833,6.139543798858138,-4.6145884495181955
104,1,60,88,1,178.5846934697143,55.62595889909397,3.4766224311933738,6.173891281555605,-4.834089042416924
105,1,1,97,1,208.92253601081873,14.759427543130721,3.6898568857826777,6.195300412033031,-20.361874282406877
106,1,60,97,0,216.3794532730432,14.669680450987741,3.667420112746933,5.190299774159909,1.451638530259814
107,1,60,77,1,156.70259538599882,106.91730528108911,3.486433867861602,6.132059320479159,-4.566758235694556
108,1,60,92,1,186.54182004561088,37.05212097890781,3.4736363417726093,6.1894501967123405,-4.9335196508211965
109,1,0,78,0,185.4039501516006,114.63102482692294,3.907875846372374,5.2519229542689905,4.57308135629414
110,1,60,96,0,214.18663603777338,19.56303547244392,3.668069151083232,5.196477461566061,1.412159478466208
111,1,60,84,1,170.62756689381774,74.23771541509942,3.4798929100827847,6.158502154061907,-4.73574347692633
112,1,0,98,0,232.3170643248018,10.392981284401303,3.897367981650485,5.082369826412476,9.257325833230068
113,1,60,84,0,187.87282921453718,78.444009984621,3.6770629680291087,5.271285103518012,0.9340946983937001
114,1,60,98,0,218.57227050831293,9.778091520242581,3.6667843200909647,5.184129508655712,1.4910701517397102
115,1,60,89,1,180.57397511368845,50.979144262394904,3.47585074516329,6.1777659869982005,-4.85885068650738
116,5,2,92,0,198.08239191048557,22.853219177225345,3.4279828765838016,5.144172124672095,9.329741216482429
117,1,60,85,1,172.6168485377919,69.58092866387521,3.4790464331937607,6.162332207481288,-4.760219768356269
118,1,1,97,0,228.52452302890214,15.493068668669325,3.873267167167329,5.085285565228751,8.695192804127231
119,5,3,96,0,198.4992327589496,21.899065499872407,3.4276798173713314,5.25266961119506,5.625655421857265
120,1,60,86,1,174.60613018176602,64.92676664719059,3.4782196418137814,6.166174013644512,-4.784771166723863
121,1,60,97,1,196.48822826548155,13.881000219202441,3.470250054800608,6.209105605273686,-5.059129258689207
122,1,0,96,0,227.6257529074816,20.79051597684875,3.898221745659138,5.0992147423463985,8.791951319498311
123,1,60,95,1,192.50966497753333,23.14374530292125,3.471561795438184,6.201217904605419,-5.008722217551954
124,1,60,96,1,194.4989466215075,18.51146183006353,3.4708990931369095,6.205157676074234,-5.033899671774944
125,1,60,93,1,188.53110168958503,32.414012913593815,3.4729299550279125,6.193363887470099,-4.958530433978639
126,7,14,82,1,174.6506052637778,23.709460399759877,3.1698517708374623,5.9860497567752375,-16.46873626132997
127,5,30,75,0,189.84923889707244,27.19250061884417,3.3251699126304017,5.05626348787903,12.33092717207724
128,4,44,76,0,209.05536426838933,29.524058004235368,3.6584158831335123,5.190528588904612,12.499985636883238
129,7,31,83,1,174.77163309908377,23.423264219704357,3.1697786906012926,5.986118969974343,-16.470740938007836
